Company name,Booth number,Company location,Twitter,Linkedin,Facebook,Website,Description,Focus areas
India Pavilion,Booth 3545,"Bengaluru, Karnataka, India",https://twitter.com/able_indiabio,https://www.linkedin.com/company/able---association-of-biotechnology-led-enterprises/,https://www.facebook.com/ABLEIndiaBio?mibextid=ZbWKwL,http://ableindia.in,"Association of Biotechnology Led Enterprises - ABLE is a not-for-profit pan-India forum that represents the Indian Biotechnology Sector. It was launched in April 2003, after industry leaders felt a need to form an exclusive forum to represent the Indian Biotechnology Sector. ABLE has over 400 members from all across India representing all verticals of the sector like Agribiotech, Bio-pharma, Industrial biotech, Bioinformatics, Investment banks and Venture Capital firms, leading Research and Academic Institutes and Law Firms and Equipment Suppliers.","Clinical, Drug Delivery Device, Research Technology, Instrumentation, Crop Production & enhancement, CMO, Consulting, Marketing/Market Research, Research Institute, Incubator/Technology Park"
"Georgia, USA","Booth 1957, 3677 A","Atlanta, Georgia, United States",https://twitter.com/gdecd,http://www.linkedin.com/company/georgia-department-of-economic-development,https://www.facebook.com/gdecd,http://www.georgia.org,,"Consulting, Regional/Economic Development"
Health Holland Pavilion,Booth 1947,"Den Haag, Netherlands",,,,http://www.health-holland.com,,Associations
Innovation Agency Lithuania,Booth 2455,"Vilnius, Lithuania",,,,https://kc.inovacijuagentura.lt/?lang=en,,"Consulting, Regional/Economic Development"
Invest Puerto Rico,Booth 2335,"San Juan, Puerto Rico, United States",https://twitter.com/InvestPR,https://www.linkedin.com/company/investpr,https://www.facebook.com/InvestPuertoRico,http://www.investpr.org,Invest Puerto Rico is a not-for-profit organization created by law to promote Puerto Rico as a value-rich investment jurisdiction to attract capital investment and create new jobs on the Island.,Regional/Economic Development
European Pavilion,"Booth 1575, 1675","Zaventem, Belgium",,,,https://eic.ec.europa.eu/eic-funding-opportunities/business-acceleration-services/eic-overseas-trade,,"Research Technology, Digital Health, Regional/Economic Development"
EBD Group Pavilion,"Booth 1035, 1135, 834, 835, 934, 935","Carlsbad, California, United States",,,,http://www.ebdgroup.com,,Consulting
Connecticut Pavilion,Booth 534,"New Haven, Connecticut, United States",https://twitter.com/advance_ct,https://www.linkedin.com/company/advancect,,http://www.advancect.org,"Successful companies pick the best location for their business, but transformative companies pick the best location for their people. The success of your business is determined by the quality of your workforce and their ability to adapt to new technologies fueled by innovation.",Regional/Economic Development
City of Phoenix Pavilion,Booth 3035,"Phoenix, Arizona, United States",https://twitter.com/PHXEconDev,https://www.linkedin.com/company/phx-cedd/,,http://www.PHXisBio.com,"Phoenix, Arizona is the 5th largest city in the United States and one of the fastest growing for more than 5 years. CBRE’s annual life science report ranked Phoenix 5th in the Nation among Emerging Life Science Markets and 1st in Life Science Job Growth in Emerging Life Science Markets in 2020 and 2021 respectively.","Preclinical, Clinical, Market - Drug (on patent), Market - Generics/OTC, Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Non Drug Delivery Device, Research Institute, Incubator/Technology Park, Regional/Economic Development"
California Pavilion,Booth 2035,"San Diego, California, United States",,,,http://www.biocom.org,,"CMO, Investment Banking or Lending, Consulting, Marketing/Market Research, Foundation/Patient Advocacy, Incubator/Technology Park, Regional/Economic Development, Associations"
Business France,Booth 951,"PARIS, Ile-de-France, France",https://twitter.com/businessfrance,https://www.linkedin.com/company/business-france,https://www.facebook.com/businessfrance,http://www.businessfrance.fr,"Business France is the national agency supporting the international development of the French economy, responsible for fostering export growth by French businesses, as well as promoting and facilitating international investment in France.",Associations
BioTexas Pavilion,Booth 1465,"Austin, Texas, United States",https://twitter.com/txhbi,https://linkedin.com/company/txhbi,https://www.facebook.com/txhbi,http://www.thbi.com,Texas Healthcare and Bioscience Institute (THBI) leads the Texas delegation and organizes the BioTexas booth at the BIO International Convention. THBI is Texas’s trade association for the life sciences and serves as the BIO affiliate in Texas.,"Regional/Economic Development, Associations"
BIO Business Solutions®,Booth 143,"Washington, District of Columbia, United States",,https://www.linkedin.com/showcase/bio-business-solutions/,,http://www.bio.org/save,"BIO Business Solutions is the largest cost-savings purchasing program for the life sciences industry, operated by BIO. We pool the purchasing power of thousands of life sciences companies to negotiate for exclusive pricing and favorable terms on business-critical products, like lab supplies, regulatory services, HR and much more. BIO helped 4,700 life science companies save over $705 million last year alone.","Research Technology, Instrumentation, Supplies, Industrial Chemicals/Products, CRO & Analytical Labs, Distributor, Associations"
Australia,Booth 2765,"Melbourne, Victoria, Australia",,,,http://www.ausbiotech.org,,Associations
Kentucky Pavilion,Booth 1879,"Louisville, Kentucky, United States",,,,https://www.greaterlouisville.com/,,"Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Digital Health, VC/PE, Distributor, Consulting, Tech Transfer, Incubator/Technology Park, Regional/Economic Development, Associations"
Japan External Trade Organization (JETRO),Booth 1353,"Tokyo, Japan",https://twitter.com/JETRO_info,https://www.linkedin.com/company/jetro-collaborate-and-invest-japan/,https://www.facebook.com/JETRO.InvestJapan/,https://www.jetro.go.jp/en/jetro/worldwide.html,"JETRO, or the Japan External Trade Organization, is a government-related organization that works to promote mutual trade and investment between Japan and the rest of the world. Originally established in 1958 to promote Japanese exports abroad, JETRO's core focus in the 21st century has shifted toward promoting foreign direct investment into Japan and helping small to medium size Japanese firms maximize their global export potential.",Regional/Economic Development
Quebec,Booth 2049,"Montreal, Quebec, Canada",https://twitter.com/InvestQuebec,https://www.linkedin.com/company/investissement-quebec,https://www.facebook.com/InvestissementQuebec/,https://www.investquebec.com/international/en/home.html,"Québec is a Strategic Business Partnerfor its diversified economy, its strategic location, its abundant natural resources, its numerous free-trade agreements, its booming exports and its capacity for innovation.","Preclinical, Clinical, Market - Drug (on patent), Market - Generics/OTC, Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Patient Monitoring Device, CRO & Analytical Labs, CMO, Regional/Economic Development"
Argentina Pavilion,Booth 2949,"Buenos Aires, Buenos Aires, Argentina",,,,http://www.investandtrade.org.ar,Argentina export promotion agency,"Preclinical, Clinical, Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Drug Delivery Device, Bioinformatics, Food & Feed inputs, Crop Production & enhancement, Animal Health & Research, Tech Transfer"
Poland,Booth 3453,"Warsaw, Poland",,,,https://www.paih.gov.pl/en,"The Polish Investment and Trade Agency (PAIH) supports both the foreign expansion of Polish business and the inflow of FDI into Poland. We also aim to boost Polish exports. Supporting entrepreneurs, the Agency assists in overcoming administrative and legal procedures, related to specific projects as well as helps to develop legal solutions, find a suitable location, reliable partners and suppliers.","Consulting, Regional/Economic Development"
German Pavilion,"Booth 1335, 1343, 1435, 1445, 1545","Leipzig, Germany",,,,https://bio.german-pavilion.com/en/home/,,
Czech,Booth 2075,"Praha, Czech Republic",,,,http://www.mpo.cz,,"Consulting, Associations"
Oregon Pavilion,Booth 3355,"Portland, Oregon, United States",,,,http://oregonbio.org,"As the collective voice for our bioscience community, Oregon Bio is responsible for communicating the industry’s economic impact, issues and challenges to the public sector, educators and the general public.",Associations
Ohio Life Sciences,Booth 3247,"Columbus, Ohio, United States",https://twitter.com/ohiolifescience,https://www.linkedin.com/company/ohiolifesciences,https://www.facebook.com/ohiolifesciences,https://ohiolifesciences.org/,"Ohio Life Sciences is Ohio’s life science industry trade association, representing an industry that includes more than 4,200 businesses statewide. Ohio Life Sciences convenes and advocates on behalf of biotech, pharmaceuticals, medical devices, labs, digital health, gene and cell therapy, agricultural biotechnology, and research and academic institutions throughout Ohio. OLS is the voice representing and advocating for the common interests of our life sciences community.","Consulting, Tech Transfer, Foundation/Patient Advocacy, Regional/Economic Development, Associations"
Canada Pavilion,Booth 2149,"Ottawa, Ontario, Canada",https://twitter.com/BIOTECanada,https://www.linkedin.com/company/biotecanada,,http://www.biotech.ca,"BIOTECanada is the national industry association with over 200 members located nationwide, reflecting the diverse nature of Canada’s health, industrial and agricultural biotechnology sectors. In addition to providing significant health benefits for Canadians, the biotechnology industry has quickly become an essential part of the transformation of many traditional cornerstones of the Canadian economy including manufacturing, automotive, energy, aerospace and forestry industries.",Associations
Brazilian Pavilion,Booth 1751,"Sao Paulo, São Paulo, Brazil",,,,https://abiquifi.org.br/,,
NM BIO,Booth 1475,"Santa Fe, New Mexico, United States",,,,http://www.nmbio.org,,"Marketing/Market Research, Tech Transfer, Incubator/Technology Park, Regional/Economic Development, Associations"
Belgium Pavilion,Booth 1664,"Brussels, Belgium",,,,http://www.flandersinvestmentandtrade.com,"BELGIUM, TOP INNOVATOR IN EUROPE",Regional/Economic Development
New York State Pavilion,Booth 2235,"New York, New York, United States",https://twitter.com/EmpireStateDev,https://www.linkedin.com/company/empire-state-development,https://www.facebook.com/EmpireStateDevelopment,https://esd.ny.gov/,,Regional/Economic Development
Minnesota Department of Employment & Economic Development,Booth 2485,"Saint Paul, Minnesota, United States",https://twitter.com/JoinUsMN,https://www.linkedin.com/showcase/joinusmn,https://www.facebook.com/JoinUsMN,http://www.joinusmn.com,"Minnesota is the problem-solving capital of America--and our businesses, from large to small, are finding solutions that will redefine the future of the global economy. They're building what matters.","University (Faculty), Research Institute, Incubator/Technology Park, Regional/Economic Development, Associations"
Mexico,Booth 3535,"Mexico City, Federal District, Mexico",,,,http://www.biomexico.org,"Mexico is an upcoming global player in the biotech industry, with over 3,500 biotech companies across the country, coupled with strong academic institutions and groundbreaking research centers.","Market - Drug (on patent), Market - Generics/OTC, CRO & Analytical Labs, Legal, Marketing/Market Research, Research Institute"
Massachusetts Pavilion,Booth 451,"Cambridge, Massachusetts, United States",,,,http://www.massbio.org,,Regional/Economic Development
Maryland Department of Commerce,Booth 3347,"Baltimore, Maryland, United States",https://twitter.com/MDBiz,https://www.linkedin.com/company/maryland-commerce/,https://www.facebook.com/MarylandBiz/,https://open.maryland.gov/industries/lifesciences/,"As the state of Maryland’s primary economic development agency, the Department of Commerce stimulates private investment and creates jobs by attracting new businesses, encouraging the expansion and retention of existing companies, and providing workforce training and financial assistance to companies. The Department also promotes the state's many economic advantages and markets local products and services at home and abroad to spur economic development and international investment, trade and tourism.",Regional/Economic Development
Pennsylvania Pavilion,Booth 1935,"King of Prussia, Pennsylvania, United States",,,,http://www.lifesciencespa.org,,
Korea Pavilion,Booth 2464,"Seongnam, Korea, Republic of",,https://www.linkedin.com/company/korea-biotechnology-industry-organization,https://www.facebook.com/koreabio.org,http://www.koreabio.org,Korea Biotechnology Industry Organization (KoreaBIO) is an association established as a result of merger between three different industry associations in the biotechnology field in November 2008.,"Clinical, Market - Drug (on patent), Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Drug Delivery Device, Non Drug Delivery Device, Environmental, Consulting, Marketing/Market Research, Regional/Economic Development"
Italian Trade Agency,Booth 2065,"Rome, Rome, Italy",https://twitter.com/ITAtradeagency,https://www.linkedin.com/company/itaitaliantradeagency,https://www.facebook.com/italosangeles,http://www.ice.it/en,"ITA - Italian Trade Agency is the Governmental agency that supports the business development of our companies abroad and promotes the attraction of foreign investment in Italy, through ""Invest in Italy"", a project operated with Invitalia.","Marketing/Market Research, Regional/Economic Development"
Patient Advocacy Zone,Booth 246,"Washington, District of Columbia, United States",,,,http://www.bio.org,,
2bind GmbH,Booth 1435,"Regensburg, Germany",,https://www.linkedin.com/company/2bind-gmbh---molecular-interactions/mycompany/,,http://2bind.com,"2bind is a provider for biophysical analytical services. Since 2011 we have successfully completed > 1400 tasks in contract research projects with > 450 different customers from biotech, pharma (8 of the top 10 by revenue), and academia.",CRO & Analytical Labs
3DforScience - Visuals for Bio&Health,Booth 2566,"Malaga, Spain",https://twitter.com/3dforscience,https://www.linkedin.com/company/15179577,,http://www.3dforscience.com,"3DforScience is a scientific communication and medical animation company for Life Sciences sector.  Our mission is to provide illustrative content and visual solutions through 3D animation videos, illustration,  Virtual reality , augmented reality and interactive production to enhance healthcare communications.","Consulting, Marketing/Market Research"
"""INVES BIOFARM""",Booth 443,"Granada, Spain",,,,http://invesbiofarm.com,"We have a patent for protein stabilization valid for pharmaceuticals, medical devices and cosmetics that results in products with greater differential efficacy in atopic dermatitis, acne, and wound healing (Clinical studies).",Market - Drug (on patent)
OK BIO,Booth 1149,"Oklahoma City, Oklahoma, United States",,,,http://www.okbio.org,"OKBio promotes the growth of biosciences and life sciences in Oklahoma through partnership building, education and outreach, networking, policy development and publicity.",
